analysisName,problemSpec,TAR_start_day,TAR_end_day,targetId,outcomeId,targetCohortName,outcomeCohortName,targetCohortJson,outcomeCohortJson
HFT2DM,"Predicting heart Failure in patients with T2DM who were treated with metformin and who became new adult users of one of sulfonylureas, thiazolidinediones, dipeptidyl peptidase-4 inhibitors, glucagon-like peptide-1 receptor agonists, or sodium-glucose co-transporter-2 inhibitors (date of secondary drug). Patients with HF or patients treated with insulin on or prior to the index date were excluded from the analysis. Patients were required to have been enrolled for at least 365 days before cohort entry. with TAR: 1 to 365 days",1,365,2,1,[IPEV]T2dm_second_line,[IPEV]Heart_Failure_revised_no_hosp,inst/cohorts/[IPEV]T2dm_second_line.json,inst/cohorts/[IPEV]Heart_Failure_revised_no_hosp.json
CCA,Predicting colorectal cancer in patients with anemia (date of first anemia record) with TAR: 1 day - 1-year,1,365,3,4,[PL]Anemia,[PL]ClrctlCancer,inst/cohorts/[PL]Anemia.json,inst/cohorts/[PL]ClrctlCancer.json
CVCOPD_30,Predicting cardiovascular event and death in patients with COPD (first record) with TAR: 1-30 days,1,30,5,6,[PL]COPD,[PL]CVDeath,inst/cohorts/[PL]COPD.json,inst/cohorts/[PL]CVDeath.json
CVCOPD_90,Predicting cardiovascular event and death in patients with COPD (first record) with TAR: 1-90 days,1,90,5,6,[PL]COPD,[PL]CVDeath,inst/cohorts/[PL]COPD.json,inst/cohorts/[PL]CVDeath.json
LCOV,Predicting lung cancer in patients with an outpatient visit in 2017 with no prior cancer (first visit in 2017) with TAR: 1 day - 3 years after index,1,1095,22,23,lung_cancer_T,lung_cancer,inst/cohorts/lung_cancer_T.json,inst/cohorts/lung_cancer.json
MACEMNCS_cre,Predicting th earliest of AMI cardiac arrest or death (MACE) in patients undergoing elective major non-cardiac surgery (date of surgery) with Creatinine measurements. Patients were required to have been enrolled for at least 365 days before cohort entry. with TAR: 0 to 30 days,0,30,9,11,[RCRI]Composite_MNCS_004_2_with_Cr,[RCRI]MACE,inst/cohorts/[RCRI]Composite_MNCS_004_2_with_Cr.json,inst/cohorts/[RCRI]MACE.json
MACEMNCS,Predicting the earliest of AMI cardiac arrest or death (MACE) in patients undergoing elective major non-cardiac surgery (date of surgery) without creatinine measurements. Patients were required to have been enrolled for at least 365 days before cohort entry. with TAR: 0 to 30 days,0,30,10,11,[RCRI]Composite_MNCS_004_2,[RCRI]MACE,inst/cohorts/[RCRI]Composite_MNCS_004_2.json,inst/cohorts/[RCRI]MACE.json
coverF,Predicting hospitalization with pneumonia in patients with an outpatient visit and a positive COVID test with TAR: 1 day - 30 days after index,1,30,13,16,[seekCover]covid_outpatient_visit,[seekCover]hospitalization_with_pneumonia,inst/cohorts/[seekCover]covid_outpatient_visit.json,inst/cohorts/[seekCover]hospitalization_with_pneumonia.json
coverH,"Predicting hospitalization with pneumonia that required intensive services (ventilation, intubation, tracheotomy, or extracorporeal membrane oxygenation) or death in patients with an outpatient visit and a positive COVID test with TAR: 1 day - 30 days after index",1,30,13,15,[seekCover]covid_outpatient_visit,[seekCover]hosp_pneum_and_inten_care_or_death,inst/cohorts/[seekCover]covid_outpatient_visit.json,inst/cohorts/[seekCover]hosp_pneum_and_inten_care_or_death.json
coverI,Predicting death in patients with an outpatient visit and a positive COVID test with TAR: 1 day - 30 days after index,1,30,13,14,[seekCover]covid_outpatient_visit,[seekCover]death,inst/cohorts/[seekCover]covid_outpatient_visit.json,inst/cohorts/[seekCover]death.json
ISAF,Predicting ischemic stroke in patients newly diagnosed with atrial fibrilation (date of initial afib record) with TAR: 1 to 365 days,1,365,17,25,afib,non-hem-stroke,inst/cohorts/afib.json,inst/cohorts/non-hem-stroke.json
BMDD,Predicting bipolar in patients newly diagnosed with major depressive disorder (date of first record) with TAR: 1 day - 365 day after index,1,365,24,18,mdd,bipolar,inst/cohorts/mdd.json,inst/cohorts/bipolar.json
DOV,Predicting dementia in patients with an outpatient visit in 2019 with TAR: 1 day - 3 years after index,1,1095,20,19,dementiaTarget,dementiaOutcome,inst/cohorts/dementiaTarget.json,inst/cohorts/dementiaOutcome.json
